Date,AAPL,AMZN,BRK-B,GOOGL,JNJ,JPM,MSFT,TSLA,V
2023-05-25,172.99000549316406,115.0,319.0199890136719,123.4800033569336,154.41000366210938,135.6699981689453,325.9200134277344,184.47000122070312,223.3800048828125
2023-05-26,175.42999267578125,120.11000061035156,320.6000061035156,124.61000061035156,154.35000610351562,136.94000244140625,332.8900146484375,193.1699981689453,225.00999450683597
2023-05-30,177.3000030517578,121.66000366210938,322.19000244140625,123.66999816894533,154.3699951171875,137.4600067138672,331.2099914550781,201.16000366210935,221.63999938964844
2023-05-31,177.25,120.58000183105467,321.0799865722656,122.87000274658205,155.05999755859375,135.7100067138672,328.3900146484375,203.92999267578125,221.02999877929688
2023-06-01,180.08999633789062,122.7699966430664,323.1199951171875,123.72000122070312,154.5399932861328,137.5800018310547,332.5799865722656,207.5200042724609,226.5
2023-06-02,180.9499969482422,124.25,329.4800109863281,124.66999816894533,156.97000122070312,140.47000122070312,335.3999938964844,213.97000122070312,228.7899932861328
2023-06-05,179.5800018310547,125.3000030517578,328.5799865722656,126.01000213623048,158.32000732421875,139.08999633789062,335.94000244140625,217.6100006103516,226.7700042724609
2023-06-06,179.2100067138672,126.61000061035156,333.4100036621094,127.30999755859376,158.17999267578125,139.33999633789062,333.67999267578125,221.30999755859372,228.22000122070312
2023-06-07,177.82000732421875,121.2300033569336,335.4200134277344,122.5,158.52000427246094,140.69000244140625,323.3800048828125,224.57000732421875,225.2700042724609
2023-06-08,180.57000732421875,124.25,335.95001220703125,122.13999938964844,160.25999450683594,140.72999572753906,325.260009765625,234.8600006103516,223.0500030517578
2023-06-09,180.9600067138672,123.43000030517578,335.2900085449219,122.2300033569336,160.00999450683594,141.00999450683594,326.7900085449219,244.3999938964844,223.55999755859372
2023-06-12,183.7899932861328,126.56999969482422,333.6000061035156,123.63999938964844,159.89999389648438,141.0,331.8500061035156,249.8300018310547,226.1699981689453
2023-06-13,183.30999755859372,126.66000366210938,336.3900146484375,123.83000183105467,160.74000549316406,142.02000427246094,334.2900085449219,258.7099914550781,223.3999938964844
2023-06-14,183.9499969482422,126.41999816894533,335.8999938964844,123.66999816894533,161.55999755859375,141.49000549316406,337.3399963378906,256.7900085449219,223.44000244140625
2023-06-15,186.00999450683597,127.11000061035156,339.82000732421875,125.08999633789062,163.72999572753906,143.08999633789062,348.1000061035156,255.8999938964844,226.1699981689453
2023-06-16,184.9199981689453,125.48999786376952,338.3099975585937,123.52999877929688,164.22999572753906,143.25999450683594,342.3299865722656,260.5400085449219,228.91000366210935
2023-06-20,185.00999450683597,125.77999877929688,338.6700134277344,123.0999984741211,164.1300048828125,142.52999877929688,338.04998779296875,274.45001220703125,226.47000122070312
2023-06-21,183.9600067138672,124.83000183105467,338.6099853515625,120.5500030517578,163.8800048828125,142.32000732421875,333.5599975585937,259.4599914550781,227.25
2023-06-22,187.0,130.14999389648438,336.9599914550781,123.1500015258789,165.6199951171875,139.5800018310547,339.7099914550781,264.6099853515625,228.38999938964844
2023-06-23,186.67999267578125,129.3300018310547,335.25,122.33999633789062,165.47999572753906,138.85000610351562,335.0199890136719,256.6000061035156,229.5500030517578
2023-06-26,185.2700042724609,127.33000183105467,334.1199951171875,118.33999633789062,163.6300048828125,139.19000244140625,328.6000061035156,241.0500030517578,226.3000030517578
2023-06-27,188.05999755859372,129.17999267578125,335.3399963378906,118.33000183105467,163.2899932861328,139.1999969482422,334.57000732421875,250.2100067138672,227.33999633789065
2023-06-28,189.25,129.0399932861328,334.1499938964844,120.18000030517578,162.9600067138672,138.58999633789062,335.8500061035156,256.239990234375,227.9600067138672
2023-06-29,189.58999633789065,127.9000015258789,336.9100036621094,119.0999984741211,164.10000610351562,143.42999267578125,335.04998779296875,257.5,234.32000732421875
2023-06-30,193.97000122070312,130.36000061035156,341.0,119.6999969482422,165.52000427246094,145.44000244140625,340.5400085449219,261.7699890136719,237.47999572753903
2023-07-03,192.4600067138672,130.22000122070312,342.0,119.9000015258789,163.35000610351562,146.61000061035156,337.989990234375,279.82000732421875,237.97000122070312
2023-07-05,191.3300018310547,130.3800048828125,341.5599975585937,121.75,162.80999755859375,144.63999938964844,338.1499938964844,282.4800109863281,239.4499969482422
2023-07-06,191.80999755859372,128.36000061035156,341.4599914550781,120.11000061035156,161.60000610351562,143.2100067138672,341.2699890136719,276.5400085449219,238.8800048828125
2023-07-07,190.67999267578125,129.77999877929688,340.8999938964844,119.4800033569336,159.25,144.33999633789062,337.2200012207031,274.42999267578125,236.4499969482422
2023-07-10,188.6100006103516,127.12999725341795,341.1300048828125,116.4499969482422,159.50999450683594,145.14999389648438,331.8299865722656,269.6099853515625,238.16000366210935
2023-07-11,188.0800018310547,128.77999877929688,343.3699951171875,117.13999938964844,158.6300048828125,147.4199981689453,332.4700012207031,269.7900085449219,240.5500030517578
2023-07-12,189.7700042724609,130.8000030517578,345.3500061035156,118.93000030517578,158.0800018310547,148.14999389648438,337.20001220703125,271.989990234375,242.2100067138672
2023-07-13,190.5399932861328,134.3000030517578,343.5400085449219,124.54000091552734,158.80999755859375,148.8699951171875,342.6600036621094,277.8999938964844,243.30999755859372
2023-07-14,190.69000244140625,134.67999267578125,341.0899963378906,125.41999816894533,159.8699951171875,149.77000427246094,345.239990234375,281.3800048828125,243.16000366210935
2023-07-17,193.9900054931641,133.55999755859375,344.25,124.6500015258789,159.07000732421875,153.3800048828125,345.7300109863281,290.3800048828125,243.9900054931641
2023-07-18,193.72999572753903,132.8300018310547,345.3399963378906,123.76000213623048,159.05999755859375,153.66000366210938,359.489990234375,293.3399963378906,240.7700042724609
2023-07-19,195.1000061035156,135.36000061035156,342.42999267578125,122.02999877929688,158.74000549316406,154.25,355.0799865722656,291.260009765625,241.4199981689453
2023-07-20,193.1300048828125,129.9600067138672,346.6099853515625,119.1999969482422,168.3800048828125,156.14999389648438,346.8699951171875,262.8999938964844,239.6199951171875
2023-07-21,191.94000244140625,130.0,345.760009765625,120.0199966430664,170.19000244140625,154.9499969482422,343.7699890136719,260.0199890136719,239.25
2023-07-24,192.75,128.8000030517578,349.6300048828125,121.52999877929688,171.0800018310547,158.0,345.1099853515625,269.0599975585937,240.7400054931641
2023-07-25,193.6199951171875,129.1300048828125,347.5799865722656,122.20999908447266,172.38999938964844,156.82000732421875,350.9800109863281,265.2799987792969,238.69000244140625
